Type,Operation,String_expresion,CIR_regularizado,Explicit,String
DATE,DATE,in April 2017,2017 04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in April 2017 2017 04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,early 2035,2035<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 2035 2035<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"on the twenty-ninth of June, one thousand nine hundred and ninety-one",1991 06<pad>29<pad><pad><pad><pad><pad>,explicit,"<date on the twenty-ninth of June, one thousand nine hundred and ninety-one 1991 06<pad>29<pad><pad><pad><pad><pad>>"
DATE,DATE,10 of 8,<pad>08<pad>10<pad><pad><pad><pad><pad>,explicit,<date 10 of 8 <pad>08<pad>10<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-second week of 2085,2085<pad>32<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-second week of 2085 2085<pad>32<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in September 2029,2029 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 2029 2029 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,September,<pad>09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date September <pad>09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 2076,2076 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 2076 2076 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the eighth week of 2087,2087<pad>08<pad><pad><pad><pad><pad><pad>,explicit,<date the eighth week of 2087 2087<pad>08<pad><pad><pad><pad><pad><pad>>
DATE,DATE,1992/7/7,1992 07<pad>07<pad><pad><pad><pad><pad>,explicit,<date 1992/7/7 1992 07<pad>07<pad><pad><pad><pad><pad>>
DATE,DATE,2069/6/3,2069 06<pad>03<pad><pad><pad><pad><pad>,explicit,<date 2069/6/3 2069 06<pad>03<pad><pad><pad><pad><pad>>
DATE,DATE,the thirteenth week of 2007,2007<pad>13<pad><pad><pad><pad><pad><pad>,explicit,<date the thirteenth week of 2007 2007<pad>13<pad><pad><pad><pad><pad><pad>>
DATE,DATE,August,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date August <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,early 1935,1935<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1935 1935<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of February,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of February <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in July 2056,2056 07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in July 2056 2056 07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1943/1/10,1943 01<pad>10<pad><pad><pad><pad><pad>,explicit,<date 1943/1/10 1943 01<pad>10<pad><pad><pad><pad><pad>>
DATE,DATE,2072,2072<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2072 2072<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 2063,2063 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 2063 2063 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2061/12/7,2061 12<pad>07<pad><pad><pad><pad><pad>,explicit,<date 2061/12/7 2061 12<pad>07<pad><pad><pad><pad><pad>>
DATE,DATE,early 2003,2003<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 2003 2003<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in January 1981,1981 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1981 1981 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of 2026,2026<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of 2026 2026<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,August 1,<pad>08<pad>01<pad><pad><pad><pad><pad>,explicit,<date August 1 <pad>08<pad>01<pad><pad><pad><pad><pad>>
DATE,DATE,October 18,<pad>10<pad>18<pad><pad><pad><pad><pad>,explicit,<date October 18 <pad>10<pad>18<pad><pad><pad><pad><pad>>
DATE,DATE,the eighth week of 1909,1909<pad>08<pad><pad><pad><pad><pad><pad>,explicit,<date the eighth week of 1909 1909<pad>08<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in September 2038,2038 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 2038 2038 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 2060,2060 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 2060 2060 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1943,1943<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1943 1943<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in May 1952,1952 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 1952 1952 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in February 1900,1900 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 1900 1900 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-fourth week of 2063,2063<pad>24<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-fourth week of 2063 2063<pad>24<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in July 2078,2078 07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in July 2078 2078 07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the forty-second week of 1989,1989<pad>42<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-second week of 1989 1989<pad>42<pad><pad><pad><pad><pad><pad>>
DATE,DATE,1990/12/20,1990 12<pad>20<pad><pad><pad><pad><pad>,explicit,<date 1990/12/20 1990 12<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-second week of 2024,2024<pad>32<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-second week of 2024 2024<pad>32<pad><pad><pad><pad><pad><pad>>
DATE,DATE,January 11,<pad>01<pad>11<pad><pad><pad><pad><pad>,explicit,<date January 11 <pad>01<pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,August 11th,<pad>08<pad>11<pad><pad><pad><pad><pad>,explicit,<date August 11th <pad>08<pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,November 10,<pad>11<pad>10<pad><pad><pad><pad><pad>,explicit,<date November 10 <pad>11<pad>10<pad><pad><pad><pad><pad>>
DATE,DATE,the fifteenth week of 1917,1917<pad>15<pad><pad><pad><pad><pad><pad>,explicit,<date the fifteenth week of 1917 1917<pad>15<pad><pad><pad><pad><pad><pad>>
DATE,DATE,early june,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date early june <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the five of 12,<pad>12<pad>05<pad><pad><pad><pad><pad>,explicit,<date the five of 12 <pad>12<pad>05<pad><pad><pad><pad><pad>>
DATE,DATE,August,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date August <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,August,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date August <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fifteenth of february,<pad>02<pad>15<pad><pad><pad><pad><pad>,explicit,<date the fifteenth of february <pad>02<pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,1957/3/28,1957 03<pad>28<pad><pad><pad><pad><pad>,explicit,<date 1957/3/28 1957 03<pad>28<pad><pad><pad><pad><pad>>
DATE,DATE,On the thirteenth,<pad><pad><pad>13<pad><pad><pad><pad><pad>,explicit,<date On the thirteenth <pad><pad><pad>13<pad><pad><pad><pad><pad>>
DATE,DATE,1966,1966<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1966 1966<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,early September,<pad>09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date early September <pad>09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the sixth of may,<pad>05<pad>06<pad><pad><pad><pad><pad>,explicit,<date the sixth of may <pad>05<pad>06<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-fifth week of 1986,1986<pad>35<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-fifth week of 1986 1986<pad>35<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in May 1977,1977 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 1977 1977 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,March twenty-second,<pad>03<pad>22<pad><pad><pad><pad><pad>,explicit,<date March twenty-second <pad>03<pad>22<pad><pad><pad><pad><pad>>
DATE,DATE,the fifth week of 2034,2034<pad>05<pad><pad><pad><pad><pad><pad>,explicit,<date the fifth week of 2034 2034<pad>05<pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the eighth,<pad><pad><pad>08<pad><pad><pad><pad><pad>,explicit,<date On the eighth <pad><pad><pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,the first week of 2089,2089<pad>01<pad><pad><pad><pad><pad><pad>,explicit,<date the first week of 2089 2089<pad>01<pad><pad><pad><pad><pad><pad>>
DATE,DATE,September 24,<pad>09<pad>24<pad><pad><pad><pad><pad>,explicit,<date September 24 <pad>09<pad>24<pad><pad><pad><pad><pad>>
DATE,DATE,On the 27th,<pad><pad><pad>27<pad><pad><pad><pad><pad>,explicit,<date On the 27th <pad><pad><pad>27<pad><pad><pad><pad><pad>>
DATE,DATE,On the 8th,<pad><pad><pad>08<pad><pad><pad><pad><pad>,explicit,<date On the 8th <pad><pad><pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,7 of 1,<pad>01<pad>07<pad><pad><pad><pad><pad>,explicit,<date 7 of 1 <pad>01<pad>07<pad><pad><pad><pad><pad>>
DATE,DATE,On the 11th,<pad><pad><pad>11<pad><pad><pad><pad><pad>,explicit,<date On the 11th <pad><pad><pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,"June 7, 1970",1970 06<pad>07<pad><pad><pad><pad><pad>,explicit,"<date June 7, 1970 1970 06<pad>07<pad><pad><pad><pad><pad>>"
DATE,DATE,in March 2054,2054 03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in March 2054 2054 03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,May,<pad>05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date May <pad>05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,July 26,<pad>07<pad>26<pad><pad><pad><pad><pad>,explicit,<date July 26 <pad>07<pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,2038/8/19,2038 08<pad>19<pad><pad><pad><pad><pad>,explicit,<date 2038/8/19 2038 08<pad>19<pad><pad><pad><pad><pad>>
DATE,DATE,the tenth week of 1936,1936<pad>10<pad><pad><pad><pad><pad><pad>,explicit,<date the tenth week of 1936 1936<pad>10<pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 14th,<pad><pad><pad>14<pad><pad><pad><pad><pad>,explicit,<date On the 14th <pad><pad><pad>14<pad><pad><pad><pad><pad>>
DATE,DATE,in August 1962,1962 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 1962 1962 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1990/10/26,1990 10<pad>26<pad><pad><pad><pad><pad>,explicit,<date 1990/10/26 1990 10<pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-ninth week of 1976,1976<pad>39<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-ninth week of 1976 1976<pad>39<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the forty-third week of 2000,2000<pad>43<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-third week of 2000 2000<pad>43<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 1969,1969 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 1969 1969 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in December 2009,2009 12<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in December 2009 2009 12<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,August 27,<pad>08<pad>27<pad><pad><pad><pad><pad>,explicit,<date August 27 <pad>08<pad>27<pad><pad><pad><pad><pad>>
DATE,DATE,February,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date February <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,May,<pad>05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date May <pad>05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1926/8/9,1926 08<pad>09<pad><pad><pad><pad><pad>,explicit,<date 1926/8/9 1926 08<pad>09<pad><pad><pad><pad><pad>>
DATE,DATE,the December 2,<pad>12<pad>02<pad><pad><pad><pad><pad>,explicit,<date the December 2 <pad>12<pad>02<pad><pad><pad><pad><pad>>
DATE,DATE,early 2039,2039<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 2039 2039<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2061,2061<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2061 2061<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twentieth week of 2069,2069<pad>20<pad><pad><pad><pad><pad><pad>,explicit,<date the twentieth week of 2069 2069<pad>20<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2016,2016<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2016 2016<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in January 1909,1909 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1909 1909 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-first week of 2052,2052<pad>21<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-first week of 2052 2052<pad>21<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in November 1974,1974 11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in November 1974 1974 11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2088,2088<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2088 2088<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of november,<pad>11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of november <pad>11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the forty-ninth week of 2079,2079<pad>49<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-ninth week of 2079 2079<pad>49<pad><pad><pad><pad><pad><pad>>
DATE,DATE,early 1930s,1930<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1930s 1930<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,May 15th,<pad>05<pad>15<pad><pad><pad><pad><pad>,explicit,<date May 15th <pad>05<pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,the forty-fifth week of 1943,1943<pad>45<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-fifth week of 1943 1943<pad>45<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in September 2075,2075 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 2075 2075 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-fourth of july,<pad>07<pad>24<pad><pad><pad><pad><pad>,explicit,<date the twenty-fourth of july <pad>07<pad>24<pad><pad><pad><pad><pad>>
DATE,DATE,the forty-ninth week of 2084,2084<pad>49<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-ninth week of 2084 2084<pad>49<pad><pad><pad><pad><pad><pad>>
DATE,DATE,October 26,<pad>10<pad>26<pad><pad><pad><pad><pad>,explicit,<date October 26 <pad>10<pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,2053/3/28,2053 03<pad>28<pad><pad><pad><pad><pad>,explicit,<date 2053/3/28 2053 03<pad>28<pad><pad><pad><pad><pad>>
DATE,DATE,in August 1938,1938 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 1938 1938 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,Day three,<pad><pad><pad>03<pad><pad><pad><pad><pad>,explicit,<date Day three <pad><pad><pad>03<pad><pad><pad><pad><pad>>
DATE,DATE,1943,1943<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1943 1943<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-ninth week of 1964,1964<pad>39<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-ninth week of 1964 1964<pad>39<pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 8th,<pad><pad><pad>08<pad><pad><pad><pad><pad>,explicit,<date On the 8th <pad><pad><pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,in January 1987,1987 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1987 1987 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2023/3/11,2023 03<pad>11<pad><pad><pad><pad><pad>,explicit,<date 2023/3/11 2023 03<pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,on June 20,<pad>06<pad>20<pad><pad><pad><pad><pad>,explicit,<date on June 20 <pad>06<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,2045/2/7,2045 02<pad>07<pad><pad><pad><pad><pad>,explicit,<date 2045/2/7 2045 02<pad>07<pad><pad><pad><pad><pad>>
DATE,DATE,On March 10,<pad>03<pad>10<pad><pad><pad><pad><pad>,explicit,<date On March 10 <pad>03<pad>10<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-fifth week of 1925,1925<pad>35<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-fifth week of 1925 1925<pad>35<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fiftieth week of 1993,1993<pad>50<pad><pad><pad><pad><pad><pad>,explicit,<date the fiftieth week of 1993 1993<pad>50<pad><pad><pad><pad><pad><pad>>
DATE,DATE,June,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date June <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"November 16, 1910",1910 11<pad>16<pad><pad><pad><pad><pad>,explicit,"<date November 16, 1910 1910 11<pad>16<pad><pad><pad><pad><pad>>"
DATE,DATE,the forty-fifth week of 2005,2005<pad>45<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-fifth week of 2005 2005<pad>45<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-eighth week of 2094,2094<pad>28<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-eighth week of 2094 2094<pad>28<pad><pad><pad><pad><pad><pad>>
DATE,DATE,February,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date February <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2081/10/26,2081 10<pad>26<pad><pad><pad><pad><pad>,explicit,<date 2081/10/26 2081 10<pad>26<pad><pad><pad><pad><pad>>
DATE,DATE,in September 1942,1942 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 1942 1942 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1944,1944<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1944 1944<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,beginning of february,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date beginning of february <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the ninth week of 1946,1946<pad>09<pad><pad><pad><pad><pad><pad>,explicit,<date the ninth week of 1946 1946<pad>09<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the sixth week of 2052,2052<pad>06<pad><pad><pad><pad><pad><pad>,explicit,<date the sixth week of 2052 2052<pad>06<pad><pad><pad><pad><pad><pad>>
DATE,DATE,"October 2, 2093",2093 10<pad>02<pad><pad><pad><pad><pad>,explicit,"<date October 2, 2093 2093 10<pad>02<pad><pad><pad><pad><pad>>"
DATE,DATE,end of november,<pad>11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of november <pad>11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fiftieth week of 2022,2022<pad>50<pad><pad><pad><pad><pad><pad>,explicit,<date the fiftieth week of 2022 2022<pad>50<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2065/1/20,2065 01<pad>20<pad><pad><pad><pad><pad>,explicit,<date 2065/1/20 2065 01<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,in June 2090,2090 06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in June 2090 2090 06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in July 1955,1955 07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in July 1955 1955 07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-second week of 2083,2083<pad>32<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-second week of 2083 2083<pad>32<pad><pad><pad><pad><pad><pad>>
DATE,DATE,October 21st,<pad>10<pad>21<pad><pad><pad><pad><pad>,explicit,<date October 21st <pad>10<pad>21<pad><pad><pad><pad><pad>>
DATE,DATE,February 15,<pad>02<pad>15<pad><pad><pad><pad><pad>,explicit,<date February 15 <pad>02<pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,December,<pad>12<pad><pad><pad><pad><pad><pad><pad>,explicit,<date December <pad>12<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"on the fourteenth of August, two thousand forty-four",2044 08<pad>14<pad><pad><pad><pad><pad>,explicit,"<date on the fourteenth of August, two thousand forty-four 2044 08<pad>14<pad><pad><pad><pad><pad>>"
DATE,DATE,the eleventh week of 2013,2013<pad>11<pad><pad><pad><pad><pad><pad>,explicit,<date the eleventh week of 2013 2013<pad>11<pad><pad><pad><pad><pad><pad>>
DATE,DATE,June,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date June <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,February 13,<pad>02<pad>13<pad><pad><pad><pad><pad>,explicit,<date February 13 <pad>02<pad>13<pad><pad><pad><pad><pad>>
DATE,DATE,March sixteenth,<pad>03<pad>16<pad><pad><pad><pad><pad>,explicit,<date March sixteenth <pad>03<pad>16<pad><pad><pad><pad><pad>>
DATE,DATE,On the 27th,<pad><pad><pad>27<pad><pad><pad><pad><pad>,explicit,<date On the 27th <pad><pad><pad>27<pad><pad><pad><pad><pad>>
DATE,DATE,early 2033,2033<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 2033 2033<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"on May 11, 2000",2000 05<pad>11<pad><pad><pad><pad><pad>,explicit,"<date on May 11, 2000 2000 05<pad>11<pad><pad><pad><pad><pad>>"
DATE,DATE,September,<pad>09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date September <pad>09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the eighth week of 2040,2040<pad>08<pad><pad><pad><pad><pad><pad>,explicit,<date the eighth week of 2040 2040<pad>08<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2073,2073<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2073 2073<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in May 2010,2010 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 2010 2010 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1979/4/4,1979 04<pad>04<pad><pad><pad><pad><pad>,explicit,<date 1979/4/4 1979 04<pad>04<pad><pad><pad><pad><pad>>
DATE,DATE,February,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date February <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 28th,<pad><pad><pad>28<pad><pad><pad><pad><pad>,explicit,<date On the 28th <pad><pad><pad>28<pad><pad><pad><pad><pad>>
DATE,DATE,1936/10/17,1936 10<pad>17<pad><pad><pad><pad><pad>,explicit,<date 1936/10/17 1936 10<pad>17<pad><pad><pad><pad><pad>>
DATE,DATE,the fifth week of 2042,2042<pad>05<pad><pad><pad><pad><pad><pad>,explicit,<date the fifth week of 2042 2042<pad>05<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2012/11/22,2012 11<pad>22<pad><pad><pad><pad><pad>,explicit,<date 2012/11/22 2012 11<pad>22<pad><pad><pad><pad><pad>>
DATE,DATE,the forty-fourth week of 1918,1918<pad>44<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-fourth week of 1918 1918<pad>44<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2008/11/29,2008 11<pad>29<pad><pad><pad><pad><pad>,explicit,<date 2008/11/29 2008 11<pad>29<pad><pad><pad><pad><pad>>
